ID	Name	ShortDescribe	SkillType	Lock	AttackEffect	WarningScope	EarlyWarning	ConjureDistance	ScopeEffect	SelfMotion	Distance	Action	ActionDuration	Effect	ProgressBar	Break	ScreenShake	SoundEffect	SkillIcon	NearTableId	Displacement	SummonDelay	SummonID	TriggerDelay	BuffTriggerId	NextSkillId	ValidTime	MemoryTime	CdGroup	Profession	Type	ClearLevel	Slot	CoolingTime	CoolingTimeUpgrade	MP	MPUpgrade	MPC	MPCUpgrade	ItemID
30105	测试-法师被动5	标记爆炸加血	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30105	-1	0	0	-1	2	2	18	5	0	0	0	0	0	0	-1
30106	测试-法师被动6	60%触发	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30106	-1	0	0	-1	2	2	18	5	0	0	0	0	0	0	-1
30107	测试-法师被动7	击杀目标，隐身	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30107	-1	0	0	-1	2	2	18	5	0	0	0	0	0	0	-1
30108	测试-法师被动8	用固定技能攻击3次触发隐身	2	1	0	0	0	1	0	1	1	-1,-1,-1,-1	0,0,0,0	-1	0,0,0,0	0,0,0,1	-1	zs_wyj_sf	zhanshi_4	1050	1	0	-1	0	30108	-1	0	0	-1	2	2	18	5	0	0	0	0	0	0	-1
31010	法-测试槽1	抓取	1	2	0	3,5,3,12	EffectPrefab/SkillIndicator/Dragon Arrow	8	ty_fanwei	2	11	-1,-1,Skill01,-1	100,0,400,880	-1	0,0,0,0	0,0,0,1	-1	fs_lsgx_sf	fashi_1	-1	1	400	308	0	-1	-1	0	200,880	-1	2	2	18	1	500	0	10	1	0	0	-1
31110	法-测试槽1	陆续发射5个	1	2	0	3,5,8,12	EffectPrefab/SkillIndicator/Dragon Arrow	8	ty_fanwei	2	11	-1,-1,Skill01,-1	100,0,400,880	-1	0,0,0,0	0,0,0,1	-1	fs_lsgx_sf	fashi_1	-1	1	200,300,400,500,600	31110,31110,31110,31110,31110	0	-1	-1	0	200,880	-1	2	2	18	1	500	0	10	1	0	0	-1
31210	法-测试槽1	弹射	1	5	0	2,180,8,5	0	8	ty_fanwei	2	11	-1,-1,Skill01,-1	100,0,400,880	-1	0,0,0,0	0,0,0,1	-1	fs_lsgx_sf	fashi_1	-1	1	400	31210	0	-1	-1	0	200,880	-1	2	2	18	1	500	0	10	1	0	0	-1
31310	法-测试槽1	回旋镖	1	2	0	2,180,8,5	EffectPrefab/SkillIndicator/Dragon Arrow	8	ty_fanwei	2	11	-1,-1,Skill01,-1	100,0,400,880	-1	0,0,0,0	0,0,0,1	-1	fs_lsgx_sf	fashi_1	-1	1	400	307	0	-1	-1	0	200,880	-1	2	2	18	1	500	0	10	1	0	0	-1
31020	法-测试槽2	后半屏幕	1	2	0	2,360,8,5	EffectPrefab/SkillIndicator/Dragon Arrow	8	ty_fanwei	2	11	-1,-1,Skill01,-1	100,0,400,880	-1	0,0,0,0	0,0,0,1	-1	fs_lsgx_sf	fashi_1	-1	1	300,500	31310,31020	0	-1	-1	0	200,880	-1	2	2	18	2	500	0	10	1	0	0	-1
31120	法-测试槽2	5条抛物线-时间	1	3	0	2,360,3,5	EffectPrefab/SkillIndicator/Frost Nova	8	ty_fanwei	2	11	-1,-1,Skill01,-1	100,0,400,880	-1	0,0,0,0	0,0,0,1	-1	fs_lsgx_sf	fashi_1	-1	1	400	31120	0	-1	-1	0	200,880	-1	2	2	18	2	500	0	10	1	0	0	-1
31220	法-测试槽2	时间抛物，召唤怪	1	3	0	2,360,3,5	EffectPrefab/SkillIndicator/Frost Nova	8	ty_fanwei	2	11	-1,-1,Skill01,-1	100,0,400,880	-1	0,0,0,0	0,0,0,1	-1	fs_lsgx_sf	fashi_1	-1	1	400	31220	0	-1	-1	0	200,880	-1	2	2	18	2	500	0	10	1	0	0	-1
31320	法-测试槽2	3条抛物线-位移	1	3	0	2,360,3,5	EffectPrefab/SkillIndicator/Frost Nova	8	ty_fanwei	2	11	-1,-1,Skill01,-1	100,0,400,880	-1	0,0,0,0	0,0,0,1	-1	fs_lsgx_sf	fashi_1	-1	1	400	31320	0	-1	-1	0	200,880	-1	2	2	18	2	500	0	10	1	0	0	-1
31030	法-测试槽3	5条抛物线-聚焦投射点	1	3	0	2,360,3,5	EffectPrefab/SkillIndicator/Frost Nova	8	ty_fanwei	2	11	-1,-1,Skill01,-1	100,0,400,880	-1	0,0,0,0	0,0,0,1	-1	fs_lsgx_sf	fashi_1	-1	1	400	31030	0	-1	-1	0	200,880	-1	2	2	18	4	500	0	10	1	0	0	-1
31130	法-测试槽3	时间抛物-陆续5	1	3	0	2,360,3,5	EffectPrefab/SkillIndicator/Frost Nova	8	ty_fanwei	2	11	-1,-1,Skill01,-1	100,0,400,880	-1	0,0,0,0	0,0,0,1	-1	fs_lsgx_sf	fashi_1	-1	1	200,400,600,800,1000	31130,31130,31130,31130,31130	0	-1	-1	0	200,880	-1	2	2	18	4	500	0	10	1	0	0	-1
31230	法-测试槽3	位移抛物-陆续5	1	3	0	2,360,3,5	EffectPrefab/SkillIndicator/Frost Nova	8	ty_fanwei	2	11	-1,-1,Skill01,-1	100,0,400,880	-1	0,0,0,0	0,0,0,1	-1	fs_lsgx_sf	fashi_1	-1	1	200,400,600,800,1000	31130,31130,31130,31130,31130	0	-1	-1	0	200,880	-1	2	2	18	4	500	0	10	1	0	0	-1
41000	测-额外伤害	额外10%的真实伤害	1	1	0	2,360,3,5	0	1	0	1	1	-1,-1,Skill03,-1	0,0,500,800	-1	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	fashi_3	41000	1	0	-1	0	-1	-1	0	250,800	-1	2	2	6	3	2000	0	10	1	0	0	-1
41001	测-反伤	受到物伤以50%+5反伤真实伤害	1	1	0	2,360,3,5	0	1	0	1	1	-1,-1,Skill03,-1	0,0,500,800	-1	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	fashi_3	41001	1	0	-1	0	-1	-1	0	250,800	-1	2	2	6	3	2000	0	10	1	0	0	-1
41002	测-无敌	持续15秒	1	1	0	2,360,3,5	0	1	0	1	1	-1,-1,Skill03,-1	0,0,500,800	-1	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	fashi_3	41002	1	0	-1	0	-1	-1	0	250,800	-1	2	2	6	3	2000	0	10	1	0	0	-1
41003	测-霸体	持续15秒	1	1	0	2,360,3,5	0	1	0	1	1	-1,-1,Skill03,-1	0,0,500,800	-1	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	fashi_3	41003	1	0	-1	0	-1	-1	0	250,800	-1	2	2	6	3	2000	0	10	1	0	0	-1
41004	测-物免	持续15秒	1	1	0	2,360,3,5	0	1	0	1	1	-1,-1,Skill03,-1	0,0,500,800	-1	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	fashi_3	41004	1	0	-1	0	-1	-1	0	250,800	-1	2	2	6	3	2000	0	10	1	0	0	-1
41005	测-隐身	持续15秒	1	1	0	2,360,3,5	0	1	0	1	1	-1,-1,Skill03,-1	0,0,500,800	-1	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	fashi_3	41005	1	0	-1	0	-1	-1	0	250,800	-1	2	2	6	3	2000	0	10	1	0	0	-1
41006	测-降低具体槽位的技能CD	槽1降低20%CD	1	1	0	2,360,3,5	0	1	0	1	1	-1,-1,Skill03,-1	0,0,500,800	-1	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	fashi_3	41006	1	0	-1	0	-1	-1	0	250,800	-1	2	2	6	3	2000	0	10	1	0	0	-1
41007	测-驱散	驱散3个增益	1	1	0	2,360,3,5	0	1	0	1	1	-1,-1,Skill03,-1	0,0,500,800	-1	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	fashi_3	41007	1	0	-1	0	-1	-1	0	250,800	-1	2	2	6	3	2000	0	10	1	0	0	-1
41008	测-属性转化	生命转法攻	1	1	0	2,360,3,5	0	1	0	1	1	-1,-1,Skill03,-1	0,0,500,800	-1	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	fashi_3	41008	1	0	-1	0	-1	-1	0	250,800	-1	2	2	6	3	2000	0	10	1	0	0	-1
41009	测-属性提升	生命提升法攻	1	1	0	2,360,3,5	0	1	0	1	1	-1,-1,Skill03,-1	0,0,500,800	-1	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	fashi_3	41009	1	0	-1	0	-1	-1	0	250,800	-1	2	2	6	3	2000	0	10	1	0	0	-1
41010	测-减血、霸体	减10点生命，霸体	1	1	0	2,360,3,5	0	1	0	1	1	-1,-1,Skill03,-1	0,0,500,800	-1	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	fashi_3	41010	1	0	-1	0	-1	-1	0	250,800	-1	2	2	6	3	2000	0	10	1	0	0	-1
41012	反伤	50%反伤所有伤害10%法伤	1	1	0	2,360,3,5	0	1	0	1	1	-1,-1,Skill03,-1	0,0,500,800	-1	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	fashi_3	41012	1	0	-1	0	-1	-1	0	250,800	-1	2	2	6	3	2000	0	10	1	0	0	-1
41013	一次性加血	加血	1	1	0	2,360,3,5	0	1	0	1	1	-1,-1,Skill03,-1	0,0,500,800	-1	0,0,0,0	0,0,0,1	-1	fs_ldht_sf	fashi_3	41013	1	0	-1	0	-1	-1	0	250,800	-1	2	2	6	3	2000	0	10	1	0	0	-1
1000101	小怪普攻	tongqu	1	5	0	2,120,7,5	0	1.5	ty_fanwei	2	3	-1,-1,Attack,-1	0,0,1200,0	1000101	0,0,0,0	0,0,0,1	-1	zs_pg1_sf	-1	1000101	1	0	-1	0	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	-1
1000201	小怪普攻	嚻	1	5	0	0	0	6	ty_fanwei	2	3	-1,-1,Attack,-1	0,0,2100,0	1000201	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	-1	-1	1	0	1000201	0	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	-1
1000301	小怪普攻	竦斯	1	5	0	0	0	6	ty_fanwei	2	3	-1,-1,Attack,-1	0,0,1100,0	1000301	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	-1	-1	1	0	1000301	0	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	-1
1000302	小怪技能1	竦斯	1	4	0	2,360,7,5	0	6	ty_fanwei	2	3	-1,-1,Skill01,-1	0,0,1200,0	1000302	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	-1	1000302	1	0	-1	0	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	-1
1000401	小怪普攻	孟极	1	5	0	0	0	2	ty_fanwei	2	3	-1,-1,Attack,-1	0,0,2100,0	1000401	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	-1	1000401	1	0	-1	0	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	-1
1000501	BOSS普通	鸪鸟	1	5	0	0	0	2	ty_fanwei	2	3	-1,-1,Attack,-1	0,0,2100,0	1000501	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	-1	1000501	1	0	-1	0	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	-1
1000502	BOSS技能一	鸪鸟	1	4	0	0	0	4	ty_fanwei	2	3	-1,-1,Skill01,-1	0,0,1200,0	1000502	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	-1	1000502	1	0	-1	0	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	-2
1000503	BOSS技能二	鸪鸟	1	4	0	0	0	5	ty_fanwei	2	3	-1,-1,Skill02,-1	0,0,1300,0	1000503	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	-1	1000503	1	0	-1	0	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	-1
1000504	BOSS技能三	鸪鸟	1	4	0	0	0	5	ty_fanwei	2	3	-1,-1,Skill02,-1	0,0,1300,0	1000503	0,0,0,0	0,0,0,1	-1	fs_pg1_sf	-1	1000504	1	0	-1	0	-1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	0	0	-3
