ID	UpgradeCost	Property	UpgradeCost1	Property1	UpgradeCost2	Property2	UpgradeCost3	Property3	UpgradeCost4	Property4	UpgradeCost5	Property5
36	4,56200	{1,1,576},{1,14,29},{2,1,404},{2,14,15},{3,1,576},{3,14,29},{4,1,519},{4,14,15}	4,56200	{1,3,116},{1,7,44},{2,4,144},{2,8,72},{3,3,144},{3,7,58},{4,3,144},{4,7,72}	4,56200	{1,5,144},{1,6,144},{2,5,116},{2,6,116},{3,5,116},{3,6,87},{4,5,130},{4,6,116}	4,56200	{1,11,44},{1,13,72},{2,11,44},{2,13,44},{3,11,72},{3,13,44},{4,11,72},{4,13,58}	4,56200	{1,9,44},{1,19,44},{2,10,72},{2,19,72},{3,9,72},{3,19,58},{4,9,58},{4,19,58}	4,56200	{1,2,202},{1,15,29},{2,2,288},{2,15,58},{3,2,202},{3,15,29},{4,2,231},{4,15,29}
37	4,61800	{1,1,592},{1,14,30},{2,1,415},{2,14,15},{3,1,592},{3,14,30},{4,1,533},{4,14,15}	4,61800	{1,3,119},{1,7,45},{2,4,148},{2,8,74},{3,3,148},{3,7,60},{4,3,148},{4,7,74}	4,61800	{1,5,148},{1,6,148},{2,5,119},{2,6,119},{3,5,119},{3,6,89},{4,5,134},{4,6,119}	4,61800	{1,11,45},{1,13,74},{2,11,45},{2,13,45},{3,11,74},{3,13,45},{4,11,74},{4,13,60}	4,61800	{1,9,45},{1,19,45},{2,10,74},{2,19,74},{3,9,74},{3,19,60},{4,9,60},{4,19,60}	4,61800	{1,2,208},{1,15,30},{2,2,296},{2,15,60},{3,2,208},{3,15,30},{4,2,237},{4,15,30}
38	4,68000	{1,1,608},{1,14,31},{2,1,426},{2,14,16},{3,1,608},{3,14,31},{4,1,548},{4,14,16}	4,68000	{1,3,122},{1,7,46},{2,4,152},{2,8,76},{3,3,152},{3,7,61},{4,3,152},{4,7,76}	4,68000	{1,5,152},{1,6,152},{2,5,122},{2,6,122},{3,5,122},{3,6,92},{4,5,137},{4,6,122}	4,68000	{1,11,46},{1,13,76},{2,11,46},{2,13,46},{3,11,76},{3,13,46},{4,11,76},{4,13,61}	4,68000	{1,9,46},{1,19,46},{2,10,76},{2,19,76},{3,9,76},{3,19,61},{4,9,61},{4,19,61}	4,68000	{1,2,213},{1,15,31},{2,2,304},{2,15,61},{3,2,213},{3,15,31},{4,2,244},{4,15,31}
39	4,74800	{1,1,624},{1,14,32},{2,1,437},{2,14,16},{3,1,624},{3,14,32},{4,1,562},{4,14,16}	4,74800	{1,3,125},{1,7,47},{2,4,156},{2,8,78},{3,3,156},{3,7,63},{4,3,156},{4,7,78}	4,74800	{1,5,156},{1,6,156},{2,5,125},{2,6,125},{3,5,125},{3,6,94},{4,5,141},{4,6,125}	4,74800	{1,11,47},{1,13,78},{2,11,47},{2,13,47},{3,11,78},{3,13,47},{4,11,78},{4,13,63}	4,74800	{1,9,47},{1,19,47},{2,10,78},{2,19,78},{3,9,78},{3,19,63},{4,9,63},{4,19,63}	4,74800	{1,2,219},{1,15,32},{2,2,312},{2,15,63},{3,2,219},{3,15,32},{4,2,250},{4,15,32}
40	4,82200	{1,1,640},{1,14,32},{2,1,448},{2,14,16},{3,1,640},{3,14,32},{4,1,576},{4,14,16}	4,82200	{1,3,128},{1,7,48},{2,4,160},{2,8,80},{3,3,160},{3,7,64},{4,3,160},{4,7,80}	4,82200	{1,5,160},{1,6,160},{2,5,128},{2,6,128},{3,5,128},{3,6,96},{4,5,144},{4,6,128}	4,82200	{1,11,48},{1,13,80},{2,11,48},{2,13,48},{3,11,80},{3,13,48},{4,11,80},{4,13,64}	4,82200	{1,9,48},{1,19,48},{2,10,80},{2,19,80},{3,9,80},{3,19,64},{4,9,64},{4,19,64}	4,82200	{1,2,224},{1,15,32},{2,2,320},{2,15,64},{3,2,224},{3,15,32},{4,2,256},{4,15,32}
41	4,90400	{1,1,656},{1,14,33},{2,1,460},{2,14,17},{3,1,656},{3,14,33},{4,1,591},{4,14,17}	4,90400	{1,3,132},{1,7,50},{2,4,164},{2,8,82},{3,3,164},{3,7,66},{4,3,164},{4,7,82}	4,90400	{1,5,164},{1,6,164},{2,5,132},{2,6,132},{3,5,132},{3,6,99},{4,5,148},{4,6,132}	4,90400	{1,11,50},{1,13,82},{2,11,50},{2,13,50},{3,11,82},{3,13,50},{4,11,82},{4,13,66}	4,90400	{1,9,50},{1,19,50},{2,10,82},{2,19,82},{3,9,82},{3,19,66},{4,9,66},{4,19,66}	4,90400	{1,2,230},{1,15,33},{2,2,328},{2,15,66},{3,2,230},{3,15,33},{4,2,263},{4,15,33}
42	4,99400	{1,1,672},{1,14,34},{2,1,471},{2,14,17},{3,1,672},{3,14,34},{4,1,605},{4,14,17}	4,99400	{1,3,135},{1,7,51},{2,4,168},{2,8,84},{3,3,168},{3,7,68},{4,3,168},{4,7,84}	4,99400	{1,5,168},{1,6,168},{2,5,135},{2,6,135},{3,5,135},{3,6,101},{4,5,152},{4,6,135}	4,99400	{1,11,51},{1,13,84},{2,11,51},{2,13,51},{3,11,84},{3,13,51},{4,11,84},{4,13,68}	4,99400	{1,9,51},{1,19,51},{2,10,84},{2,19,84},{3,9,84},{3,19,68},{4,9,68},{4,19,68}	4,99400	{1,2,236},{1,15,34},{2,2,336},{2,15,68},{3,2,236},{3,15,34},{4,2,269},{4,15,34}
43	4,109400	{1,1,688},{1,14,35},{2,1,482},{2,14,18},{3,1,688},{3,14,35},{4,1,620},{4,14,18}	4,109400	{1,3,138},{1,7,52},{2,4,172},{2,8,86},{3,3,172},{3,7,69},{4,3,172},{4,7,86}	4,109400	{1,5,172},{1,6,172},{2,5,138},{2,6,138},{3,5,138},{3,6,104},{4,5,155},{4,6,138}	4,109400	{1,11,52},{1,13,86},{2,11,52},{2,13,52},{3,11,86},{3,13,52},{4,11,86},{4,13,69}	4,109400	{1,9,52},{1,19,52},{2,10,86},{2,19,86},{3,9,86},{3,19,69},{4,9,69},{4,19,69}	4,109400	{1,2,241},{1,15,35},{2,2,344},{2,15,69},{3,2,241},{3,15,35},{4,2,276},{4,15,35}
44	4,120400	{1,1,704},{1,14,36},{2,1,493},{2,14,18},{3,1,704},{3,14,36},{4,1,634},{4,14,18}	4,120400	{1,3,141},{1,7,53},{2,4,176},{2,8,88},{3,3,176},{3,7,71},{4,3,176},{4,7,88}	4,120400	{1,5,176},{1,6,176},{2,5,141},{2,6,141},{3,5,141},{3,6,106},{4,5,159},{4,6,141}	4,120400	{1,11,53},{1,13,88},{2,11,53},{2,13,53},{3,11,88},{3,13,53},{4,11,88},{4,13,71}	4,120400	{1,9,53},{1,19,53},{2,10,88},{2,19,88},{3,9,88},{3,19,71},{4,9,71},{4,19,71}	4,120400	{1,2,247},{1,15,36},{2,2,352},{2,15,71},{3,2,247},{3,15,36},{4,2,282},{4,15,36}
45	4,132400	{1,1,720},{1,14,36},{2,1,504},{2,14,18},{3,1,720},{3,14,36},{4,1,648},{4,14,18}	4,132400	{1,3,144},{1,7,54},{2,4,180},{2,8,90},{3,3,180},{3,7,72},{4,3,180},{4,7,90}	4,132400	{1,5,180},{1,6,180},{2,5,144},{2,6,144},{3,5,144},{3,6,108},{4,5,162},{4,6,144}	4,132400	{1,11,54},{1,13,90},{2,11,54},{2,13,54},{3,11,90},{3,13,54},{4,11,90},{4,13,72}	4,132400	{1,9,54},{1,19,54},{2,10,90},{2,19,90},{3,9,90},{3,19,72},{4,9,72},{4,19,72}	4,132400	{1,2,252},{1,15,36},{2,2,360},{2,15,72},{3,2,252},{3,15,36},{4,2,288},{4,15,36}
46	4,145600	{1,1,736},{1,14,37},{2,1,516},{2,14,19},{3,1,736},{3,14,37},{4,1,663},{4,14,19}	4,145600	{1,3,148},{1,7,56},{2,4,184},{2,8,92},{3,3,184},{3,7,74},{4,3,184},{4,7,92}	4,145600	{1,5,184},{1,6,184},{2,5,148},{2,6,148},{3,5,148},{3,6,111},{4,5,166},{4,6,148}	4,145600	{1,11,56},{1,13,92},{2,11,56},{2,13,56},{3,11,92},{3,13,56},{4,11,92},{4,13,74}	4,145600	{1,9,56},{1,19,56},{2,10,92},{2,19,92},{3,9,92},{3,19,74},{4,9,74},{4,19,74}	4,145600	{1,2,258},{1,15,37},{2,2,368},{2,15,74},{3,2,258},{3,15,37},{4,2,295},{4,15,37}
47	4,160200	{1,1,752},{1,14,38},{2,1,527},{2,14,19},{3,1,752},{3,14,38},{4,1,677},{4,14,19}	4,160200	{1,3,151},{1,7,57},{2,4,188},{2,8,94},{3,3,188},{3,7,76},{4,3,188},{4,7,94}	4,160200	{1,5,188},{1,6,188},{2,5,151},{2,6,151},{3,5,151},{3,6,113},{4,5,170},{4,6,151}	4,160200	{1,11,57},{1,13,94},{2,11,57},{2,13,57},{3,11,94},{3,13,57},{4,11,94},{4,13,76}	4,160200	{1,9,57},{1,19,57},{2,10,94},{2,19,94},{3,9,94},{3,19,76},{4,9,76},{4,19,76}	4,160200	{1,2,264},{1,15,38},{2,2,376},{2,15,76},{3,2,264},{3,15,38},{4,2,301},{4,15,38}
48	4,176200	{1,1,768},{1,14,39},{2,1,538},{2,14,20},{3,1,768},{3,14,39},{4,1,692},{4,14,20}	4,176200	{1,3,154},{1,7,58},{2,4,192},{2,8,96},{3,3,192},{3,7,77},{4,3,192},{4,7,96}	4,176200	{1,5,192},{1,6,192},{2,5,154},{2,6,154},{3,5,154},{3,6,116},{4,5,173},{4,6,154}	4,176200	{1,11,58},{1,13,96},{2,11,58},{2,13,58},{3,11,96},{3,13,58},{4,11,96},{4,13,77}	4,176200	{1,9,58},{1,19,58},{2,10,96},{2,19,96},{3,9,96},{3,19,77},{4,9,77},{4,19,77}	4,176200	{1,2,269},{1,15,39},{2,2,384},{2,15,77},{3,2,269},{3,15,39},{4,2,308},{4,15,39}
49	4,194000	{1,1,784},{1,14,40},{2,1,549},{2,14,20},{3,1,784},{3,14,40},{4,1,706},{4,14,20}	4,194000	{1,3,157},{1,7,59},{2,4,196},{2,8,98},{3,3,196},{3,7,79},{4,3,196},{4,7,98}	4,194000	{1,5,196},{1,6,196},{2,5,157},{2,6,157},{3,5,157},{3,6,118},{4,5,177},{4,6,157}	4,194000	{1,11,59},{1,13,98},{2,11,59},{2,13,59},{3,11,98},{3,13,59},{4,11,98},{4,13,79}	4,194000	{1,9,59},{1,19,59},{2,10,98},{2,19,98},{3,9,98},{3,19,79},{4,9,79},{4,19,79}	4,194000	{1,2,275},{1,15,40},{2,2,392},{2,15,79},{3,2,275},{3,15,40},{4,2,314},{4,15,40}
50	4,213400	{1,1,800},{1,14,40},{2,1,560},{2,14,20},{3,1,800},{3,14,40},{4,1,720},{4,14,20}	4,213400	{1,3,160},{1,7,60},{2,4,200},{2,8,100},{3,3,200},{3,7,80},{4,3,200},{4,7,100}	4,213400	{1,5,200},{1,6,200},{2,5,160},{2,6,160},{3,5,160},{3,6,120},{4,5,180},{4,6,160}	4,213400	{1,11,60},{1,13,100},{2,11,60},{2,13,60},{3,11,100},{3,13,60},{4,11,100},{4,13,80}	4,213400	{1,9,60},{1,19,60},{2,10,100},{2,19,100},{3,9,100},{3,19,80},{4,9,80},{4,19,80}	4,213400	{1,2,280},{1,15,40},{2,2,400},{2,15,80},{3,2,280},{3,15,40},{4,2,320},{4,15,40}
51	4,234600	{1,1,816},{1,14,41},{2,1,572},{2,14,21},{3,1,816},{3,14,41},{4,1,735},{4,14,21}	4,234600	{1,3,164},{1,7,62},{2,4,204},{2,8,102},{3,3,204},{3,7,82},{4,3,204},{4,7,102}	4,234600	{1,5,204},{1,6,204},{2,5,164},{2,6,164},{3,5,164},{3,6,123},{4,5,184},{4,6,164}	4,234600	{1,11,62},{1,13,102},{2,11,62},{2,13,62},{3,11,102},{3,13,62},{4,11,102},{4,13,82}	4,234600	{1,9,62},{1,19,62},{2,10,102},{2,19,102},{3,9,102},{3,19,82},{4,9,82},{4,19,82}	4,234600	{1,2,286},{1,15,41},{2,2,408},{2,15,82},{3,2,286},{3,15,41},{4,2,327},{4,15,41}
52	4,258200	{1,1,832},{1,14,42},{2,1,583},{2,14,21},{3,1,832},{3,14,42},{4,1,749},{4,14,21}	4,258200	{1,3,167},{1,7,63},{2,4,208},{2,8,104},{3,3,208},{3,7,84},{4,3,208},{4,7,104}	4,258200	{1,5,208},{1,6,208},{2,5,167},{2,6,167},{3,5,167},{3,6,125},{4,5,188},{4,6,167}	4,258200	{1,11,63},{1,13,104},{2,11,63},{2,13,63},{3,11,104},{3,13,63},{4,11,104},{4,13,84}	4,258200	{1,9,63},{1,19,63},{2,10,104},{2,19,104},{3,9,104},{3,19,84},{4,9,84},{4,19,84}	4,258200	{1,2,292},{1,15,42},{2,2,416},{2,15,84},{3,2,292},{3,15,42},{4,2,333},{4,15,42}
53	4,284000	{1,1,848},{1,14,43},{2,1,594},{2,14,22},{3,1,848},{3,14,43},{4,1,764},{4,14,22}	4,284000	{1,3,170},{1,7,64},{2,4,212},{2,8,106},{3,3,212},{3,7,85},{4,3,212},{4,7,106}	4,284000	{1,5,212},{1,6,212},{2,5,170},{2,6,170},{3,5,170},{3,6,128},{4,5,191},{4,6,170}	4,284000	{1,11,64},{1,13,106},{2,11,64},{2,13,64},{3,11,106},{3,13,64},{4,11,106},{4,13,85}	4,284000	{1,9,64},{1,19,64},{2,10,106},{2,19,106},{3,9,106},{3,19,85},{4,9,85},{4,19,85}	4,284000	{1,2,297},{1,15,43},{2,2,424},{2,15,85},{3,2,297},{3,15,43},{4,2,340},{4,15,43}
54	4,312400	{1,1,864},{1,14,44},{2,1,605},{2,14,22},{3,1,864},{3,14,44},{4,1,778},{4,14,22}	4,312400	{1,3,173},{1,7,65},{2,4,216},{2,8,108},{3,3,216},{3,7,87},{4,3,216},{4,7,108}	4,312400	{1,5,216},{1,6,216},{2,5,173},{2,6,173},{3,5,173},{3,6,130},{4,5,195},{4,6,173}	4,312400	{1,11,65},{1,13,108},{2,11,65},{2,13,65},{3,11,108},{3,13,65},{4,11,108},{4,13,87}	4,312400	{1,9,65},{1,19,65},{2,10,108},{2,19,108},{3,9,108},{3,19,87},{4,9,87},{4,19,87}	4,312400	{1,2,303},{1,15,44},{2,2,432},{2,15,87},{3,2,303},{3,15,44},{4,2,346},{4,15,44}
55	4,343600	{1,1,880},{1,14,44},{2,1,616},{2,14,22},{3,1,880},{3,14,44},{4,1,792},{4,14,22}	4,343600	{1,3,176},{1,7,66},{2,4,220},{2,8,110},{3,3,220},{3,7,88},{4,3,220},{4,7,110}	4,343600	{1,5,220},{1,6,220},{2,5,176},{2,6,176},{3,5,176},{3,6,132},{4,5,198},{4,6,176}	4,343600	{1,11,66},{1,13,110},{2,11,66},{2,13,66},{3,11,110},{3,13,66},{4,11,110},{4,13,88}	4,343600	{1,9,66},{1,19,66},{2,10,110},{2,19,110},{3,9,110},{3,19,88},{4,9,88},{4,19,88}	4,343600	{1,2,308},{1,15,44},{2,2,440},{2,15,88},{3,2,308},{3,15,44},{4,2,352},{4,15,44}
56	4,378000	{1,1,896},{1,14,45},{2,1,628},{2,14,23},{3,1,896},{3,14,45},{4,1,807},{4,14,23}	4,378000	{1,3,180},{1,7,68},{2,4,224},{2,8,112},{3,3,224},{3,7,90},{4,3,224},{4,7,112}	4,378000	{1,5,224},{1,6,224},{2,5,180},{2,6,180},{3,5,180},{3,6,135},{4,5,202},{4,6,180}	4,378000	{1,11,68},{1,13,112},{2,11,68},{2,13,68},{3,11,112},{3,13,68},{4,11,112},{4,13,90}	4,378000	{1,9,68},{1,19,68},{2,10,112},{2,19,112},{3,9,112},{3,19,90},{4,9,90},{4,19,90}	4,378000	{1,2,314},{1,15,45},{2,2,448},{2,15,90},{3,2,314},{3,15,45},{4,2,359},{4,15,45}
57	4,415800	{1,1,912},{1,14,46},{2,1,639},{2,14,23},{3,1,912},{3,14,46},{4,1,821},{4,14,23}	4,415800	{1,3,183},{1,7,69},{2,4,228},{2,8,114},{3,3,228},{3,7,92},{4,3,228},{4,7,114}	4,415800	{1,5,228},{1,6,228},{2,5,183},{2,6,183},{3,5,183},{3,6,137},{4,5,206},{4,6,183}	4,415800	{1,11,69},{1,13,114},{2,11,69},{2,13,69},{3,11,114},{3,13,69},{4,11,114},{4,13,92}	4,415800	{1,9,69},{1,19,69},{2,10,114},{2,19,114},{3,9,114},{3,19,92},{4,9,92},{4,19,92}	4,415800	{1,2,320},{1,15,46},{2,2,456},{2,15,92},{3,2,320},{3,15,46},{4,2,365},{4,15,46}
58	4,457400	{1,1,928},{1,14,47},{2,1,650},{2,14,24},{3,1,928},{3,14,47},{4,1,836},{4,14,24}	4,457400	{1,3,186},{1,7,70},{2,4,232},{2,8,116},{3,3,232},{3,7,93},{4,3,232},{4,7,116}	4,457400	{1,5,232},{1,6,232},{2,5,186},{2,6,186},{3,5,186},{3,6,140},{4,5,209},{4,6,186}	4,457400	{1,11,70},{1,13,116},{2,11,70},{2,13,70},{3,11,116},{3,13,70},{4,11,116},{4,13,93}	4,457400	{1,9,70},{1,19,70},{2,10,116},{2,19,116},{3,9,116},{3,19,93},{4,9,93},{4,19,93}	4,457400	{1,2,325},{1,15,47},{2,2,464},{2,15,93},{3,2,325},{3,15,47},{4,2,372},{4,15,47}
59	4,503200	{1,1,944},{1,14,48},{2,1,661},{2,14,24},{3,1,944},{3,14,48},{4,1,850},{4,14,24}	4,503200	{1,3,189},{1,7,71},{2,4,236},{2,8,118},{3,3,236},{3,7,95},{4,3,236},{4,7,118}	4,503200	{1,5,236},{1,6,236},{2,5,189},{2,6,189},{3,5,189},{3,6,142},{4,5,213},{4,6,189}	4,503200	{1,11,71},{1,13,118},{2,11,71},{2,13,71},{3,11,118},{3,13,71},{4,11,118},{4,13,95}	4,503200	{1,9,71},{1,19,71},{2,10,118},{2,19,118},{3,9,118},{3,19,95},{4,9,95},{4,19,95}	4,503200	{1,2,331},{1,15,48},{2,2,472},{2,15,95},{3,2,331},{3,15,48},{4,2,378},{4,15,48}
60	4,553600	{1,1,960},{1,14,48},{2,1,672},{2,14,24},{3,1,960},{3,14,48},{4,1,864},{4,14,24}	4,553600	{1,3,192},{1,7,72},{2,4,240},{2,8,120},{3,3,240},{3,7,96},{4,3,240},{4,7,120}	4,553600	{1,5,240},{1,6,240},{2,5,192},{2,6,192},{3,5,192},{3,6,144},{4,5,216},{4,6,192}	4,553600	{1,11,72},{1,13,120},{2,11,72},{2,13,72},{3,11,120},{3,13,72},{4,11,120},{4,13,96}	4,553600	{1,9,72},{1,19,72},{2,10,120},{2,19,120},{3,9,120},{3,19,96},{4,9,96},{4,19,96}	4,553600	{1,2,336},{1,15,48},{2,2,480},{2,15,96},{3,2,336},{3,15,48},{4,2,384},{4,15,48}
61	4,608800	{1,1,976},{1,14,49},{2,1,684},{2,14,25},{3,1,976},{3,14,49},{4,1,879},{4,14,25}	4,608800	{1,3,196},{1,7,74},{2,4,244},{2,8,122},{3,3,244},{3,7,98},{4,3,244},{4,7,122}	4,608800	{1,5,244},{1,6,244},{2,5,196},{2,6,196},{3,5,196},{3,6,147},{4,5,220},{4,6,196}	4,608800	{1,11,74},{1,13,122},{2,11,74},{2,13,74},{3,11,122},{3,13,74},{4,11,122},{4,13,98}	4,608800	{1,9,74},{1,19,74},{2,10,122},{2,19,122},{3,9,122},{3,19,98},{4,9,98},{4,19,98}	4,608800	{1,2,342},{1,15,49},{2,2,488},{2,15,98},{3,2,342},{3,15,49},{4,2,391},{4,15,49}
62	4,669800	{1,1,992},{1,14,50},{2,1,695},{2,14,25},{3,1,992},{3,14,50},{4,1,893},{4,14,25}	4,669800	{1,3,199},{1,7,75},{2,4,248},{2,8,124},{3,3,248},{3,7,100},{4,3,248},{4,7,124}	4,669800	{1,5,248},{1,6,248},{2,5,199},{2,6,199},{3,5,199},{3,6,149},{4,5,224},{4,6,199}	4,669800	{1,11,75},{1,13,124},{2,11,75},{2,13,75},{3,11,124},{3,13,75},{4,11,124},{4,13,100}	4,669800	{1,9,75},{1,19,75},{2,10,124},{2,19,124},{3,9,124},{3,19,100},{4,9,100},{4,19,100}	4,669800	{1,2,348},{1,15,50},{2,2,496},{2,15,100},{3,2,348},{3,15,50},{4,2,397},{4,15,50}
63	4,736800	{1,1,1008},{1,14,51},{2,1,706},{2,14,26},{3,1,1008},{3,14,51},{4,1,908},{4,14,26}	4,736800	{1,3,202},{1,7,76},{2,4,252},{2,8,126},{3,3,252},{3,7,101},{4,3,252},{4,7,126}	4,736800	{1,5,252},{1,6,252},{2,5,202},{2,6,202},{3,5,202},{3,6,152},{4,5,227},{4,6,202}	4,736800	{1,11,76},{1,13,126},{2,11,76},{2,13,76},{3,11,126},{3,13,76},{4,11,126},{4,13,101}	4,736800	{1,9,76},{1,19,76},{2,10,126},{2,19,126},{3,9,126},{3,19,101},{4,9,101},{4,19,101}	4,736800	{1,2,353},{1,15,51},{2,2,504},{2,15,101},{3,2,353},{3,15,51},{4,2,404},{4,15,51}
64	4,810400	{1,1,1024},{1,14,52},{2,1,717},{2,14,26},{3,1,1024},{3,14,52},{4,1,922},{4,14,26}	4,810400	{1,3,205},{1,7,77},{2,4,256},{2,8,128},{3,3,256},{3,7,103},{4,3,256},{4,7,128}	4,810400	{1,5,256},{1,6,256},{2,5,205},{2,6,205},{3,5,205},{3,6,154},{4,5,231},{4,6,205}	4,810400	{1,11,77},{1,13,128},{2,11,77},{2,13,77},{3,11,128},{3,13,77},{4,11,128},{4,13,103}	4,810400	{1,9,77},{1,19,77},{2,10,128},{2,19,128},{3,9,128},{3,19,103},{4,9,103},{4,19,103}	4,810400	{1,2,359},{1,15,52},{2,2,512},{2,15,103},{3,2,359},{3,15,52},{4,2,410},{4,15,52}
65	4,891400	{1,1,1040},{1,14,52},{2,1,728},{2,14,26},{3,1,1040},{3,14,52},{4,1,936},{4,14,26}	4,891400	{1,3,208},{1,7,78},{2,4,260},{2,8,130},{3,3,260},{3,7,104},{4,3,260},{4,7,130}	4,891400	{1,5,260},{1,6,260},{2,5,208},{2,6,208},{3,5,208},{3,6,156},{4,5,234},{4,6,208}	4,891400	{1,11,78},{1,13,130},{2,11,78},{2,13,78},{3,11,130},{3,13,78},{4,11,130},{4,13,104}	4,891400	{1,9,78},{1,19,78},{2,10,130},{2,19,130},{3,9,130},{3,19,104},{4,9,104},{4,19,104}	4,891400	{1,2,364},{1,15,52},{2,2,520},{2,15,104},{3,2,364},{3,15,52},{4,2,416},{4,15,52}
66	4,980600	{1,1,1056},{1,14,53},{2,1,740},{2,14,27},{3,1,1056},{3,14,53},{4,1,951},{4,14,27}	4,980600	{1,3,212},{1,7,80},{2,4,264},{2,8,132},{3,3,264},{3,7,106},{4,3,264},{4,7,132}	4,980600	{1,5,264},{1,6,264},{2,5,212},{2,6,212},{3,5,212},{3,6,159},{4,5,238},{4,6,212}	4,980600	{1,11,80},{1,13,132},{2,11,80},{2,13,80},{3,11,132},{3,13,80},{4,11,132},{4,13,106}	4,980600	{1,9,80},{1,19,80},{2,10,132},{2,19,132},{3,9,132},{3,19,106},{4,9,106},{4,19,106}	4,980600	{1,2,370},{1,15,53},{2,2,528},{2,15,106},{3,2,370},{3,15,53},{4,2,423},{4,15,53}
67	4,1078800	{1,1,1072},{1,14,54},{2,1,751},{2,14,27},{3,1,1072},{3,14,54},{4,1,965},{4,14,27}	4,1078800	{1,3,215},{1,7,81},{2,4,268},{2,8,134},{3,3,268},{3,7,108},{4,3,268},{4,7,134}	4,1078800	{1,5,268},{1,6,268},{2,5,215},{2,6,215},{3,5,215},{3,6,161},{4,5,242},{4,6,215}	4,1078800	{1,11,81},{1,13,134},{2,11,81},{2,13,81},{3,11,134},{3,13,81},{4,11,134},{4,13,108}	4,1078800	{1,9,81},{1,19,81},{2,10,134},{2,19,134},{3,9,134},{3,19,108},{4,9,108},{4,19,108}	4,1078800	{1,2,376},{1,15,54},{2,2,536},{2,15,108},{3,2,376},{3,15,54},{4,2,429},{4,15,54}
68	4,1186600	{1,1,1088},{1,14,55},{2,1,762},{2,14,28},{3,1,1088},{3,14,55},{4,1,980},{4,14,28}	4,1186600	{1,3,218},{1,7,82},{2,4,272},{2,8,136},{3,3,272},{3,7,109},{4,3,272},{4,7,136}	4,1186600	{1,5,272},{1,6,272},{2,5,218},{2,6,218},{3,5,218},{3,6,164},{4,5,245},{4,6,218}	4,1186600	{1,11,82},{1,13,136},{2,11,82},{2,13,82},{3,11,136},{3,13,82},{4,11,136},{4,13,109}	4,1186600	{1,9,82},{1,19,82},{2,10,136},{2,19,136},{3,9,136},{3,19,109},{4,9,109},{4,19,109}	4,1186600	{1,2,381},{1,15,55},{2,2,544},{2,15,109},{3,2,381},{3,15,55},{4,2,436},{4,15,55}
69	4,1305200	{1,1,1104},{1,14,56},{2,1,773},{2,14,28},{3,1,1104},{3,14,56},{4,1,994},{4,14,28}	4,1305200	{1,3,221},{1,7,83},{2,4,276},{2,8,138},{3,3,276},{3,7,111},{4,3,276},{4,7,138}	4,1305200	{1,5,276},{1,6,276},{2,5,221},{2,6,221},{3,5,221},{3,6,166},{4,5,249},{4,6,221}	4,1305200	{1,11,83},{1,13,138},{2,11,83},{2,13,83},{3,11,138},{3,13,83},{4,11,138},{4,13,111}	4,1305200	{1,9,83},{1,19,83},{2,10,138},{2,19,138},{3,9,138},{3,19,111},{4,9,111},{4,19,111}	4,1305200	{1,2,387},{1,15,56},{2,2,552},{2,15,111},{3,2,387},{3,15,56},{4,2,442},{4,15,56}
70	4,1435800	{1,1,1120},{1,14,56},{2,1,784},{2,14,28},{3,1,1120},{3,14,56},{4,1,1008},{4,14,28}	4,1435800	{1,3,224},{1,7,84},{2,4,280},{2,8,140},{3,3,280},{3,7,112},{4,3,280},{4,7,140}	4,1435800	{1,5,280},{1,6,280},{2,5,224},{2,6,224},{3,5,224},{3,6,168},{4,5,252},{4,6,224}	4,1435800	{1,11,84},{1,13,140},{2,11,84},{2,13,84},{3,11,140},{3,13,84},{4,11,140},{4,13,112}	4,1435800	{1,9,84},{1,19,84},{2,10,140},{2,19,140},{3,9,140},{3,19,112},{4,9,112},{4,19,112}	4,1435800	{1,2,392},{1,15,56},{2,2,560},{2,15,112},{3,2,392},{3,15,56},{4,2,448},{4,15,56}
71	4,1579400	{1,1,1136},{1,14,57},{2,1,796},{2,14,29},{3,1,1136},{3,14,57},{4,1,1023},{4,14,29}	4,1579400	{1,3,228},{1,7,86},{2,4,284},{2,8,142},{3,3,284},{3,7,114},{4,3,284},{4,7,142}	4,1579400	{1,5,284},{1,6,284},{2,5,228},{2,6,228},{3,5,228},{3,6,171},{4,5,256},{4,6,228}	4,1579400	{1,11,86},{1,13,142},{2,11,86},{2,13,86},{3,11,142},{3,13,86},{4,11,142},{4,13,114}	4,1579400	{1,9,86},{1,19,86},{2,10,142},{2,19,142},{3,9,142},{3,19,114},{4,9,114},{4,19,114}	4,1579400	{1,2,398},{1,15,57},{2,2,568},{2,15,114},{3,2,398},{3,15,57},{4,2,455},{4,15,57}
72	4,1737400	{1,1,1152},{1,14,58},{2,1,807},{2,14,29},{3,1,1152},{3,14,58},{4,1,1037},{4,14,29}	4,1737400	{1,3,231},{1,7,87},{2,4,288},{2,8,144},{3,3,288},{3,7,116},{4,3,288},{4,7,144}	4,1737400	{1,5,288},{1,6,288},{2,5,231},{2,6,231},{3,5,231},{3,6,173},{4,5,260},{4,6,231}	4,1737400	{1,11,87},{1,13,144},{2,11,87},{2,13,87},{3,11,144},{3,13,87},{4,11,144},{4,13,116}	4,1737400	{1,9,87},{1,19,87},{2,10,144},{2,19,144},{3,9,144},{3,19,116},{4,9,116},{4,19,116}	4,1737400	{1,2,404},{1,15,58},{2,2,576},{2,15,116},{3,2,404},{3,15,58},{4,2,461},{4,15,58}
