ID	taskid	name	speaktype	stage	order	speakdesc
366	80	乱加指责	1	2	1	发生这种事情谁都不想看到啊。怎么能乱加指责。
367	80	乱加指责	2,10305	2	2	你们一来就出事，你不管谁管。
368	80	乱加指责	1	2	3	你[○･｀Д´･ ○]。
1001	5001	采集草药	2,10003	0	1	最近到处都有山妖作祟，村民被伤了好几个，你且去采集一些草药回来。
1002	5001	采集草药	1	2	1	药草已经带来了！
1003	5001	采集草药	2,10003	2	1	多谢！
1004	5002	押送药草	2,10003	0	1	我这有一些药草，你快快押送给村长，他一定都等急了！
1005	5002	押送药草	1	2	1	村长，这是药师给你的药草！
1006	5002	押送药草	2,10004	2	1	多谢！
1007	5003	杀怪救人	2,10004	0	1	最近村里大不太平啊，山妖都跑到村口来了，你快去消灭一些吧！
1008	5003	杀怪救人	1	2	1	村长，山妖我已经消灭了一波了！
1009	5003	杀怪救人	2,10004	2	1	干的不错！
1010	5004	灵丹妙药	2,10004	0	1	你快给药师找个丹药送去，救人要紧，切莫耽搁！
1011	5004	灵丹妙药	1	2	1	这是给你的丹药！
1012	5004	灵丹妙药	2,10003	2	1	多谢！
2001	2001	采集草药	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2002	2002	杀怪救人	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2003	2003	灵丹妙药	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2004	2004	采集草药	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2005	2005	杀怪救人	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2006	2006	灵丹妙药	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2007	2007	采集草药	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2008	2008	杀怪救人	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2009	2009	灵丹妙药	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2010	2010	采集草药	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2011	2011	杀怪救人	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2012	2012	灵丹妙药	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2013	2013	采集草药	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2014	2014	杀怪救人	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2015	2015	灵丹妙药	2,10099	0	1	你已经接受了每日任务，快去完成吧！
2020	2003	灵丹妙药3	2,10099	2	1	呀，你是来给我送宝贝的嘛？那可真是谢谢你了！
2021	2006	灵丹妙药6	2,10099	2	1	呀，你是来给我送宝贝的嘛？那可真是谢谢你了！
2022	2009	灵丹妙药9	2,10099	2	1	呀，你是来给我送宝贝的嘛？那可真是谢谢你了！
2023	2012	灵丹妙药12	2,10099	2	1	呀，你是来给我送宝贝的嘛？那可真是谢谢你了！
2024	2015	灵丹妙药15	2,10099	2	1	呀，你是来给我送宝贝的嘛？那可真是谢谢你了！
2300	5005	新手副本	2,10004	0	1	通关一次新手副本！
2301	5005	新手副本	2,10004	2	1	完成任务。
2302	5006	传送测试	2,10004	0	1	游览一次黛眉山。
2303	5006	传送测试	2,10004	2	1	完成任务。
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
