ID	PartType	PartName	PrimaryAttribute	Number	AdditionAttr	SuitAttr	SuitId
3170115	7	30级橙色射手鞋子	{1,640,1280},{6,180,360}	4,9900,5,100	{1000,1,320,1600},{300,1,320,1600},{100,1,320,1600},{1000,2,180,900},{300,2,180,900},{100,2,180,900},{1000,3,100,500},{300,3,100,500},{100,3,100,500},{1000,4,100,500},{300,4,100,500},{100,4,100,500},{1000,5,80,400},{300,5,80,400},{100,5,80,400},{1000,6,60,300},{300,6,60,300},{100,6,60,300},{1000,7,40,200},{300,7,40,200},{100,7,40,200},{1000,8,40,200},{300,8,40,200},{100,8,40,200},{1000,9,50,250},{300,9,50,250},{100,9,50,250},{1000,10,50,250},{300,10,50,250},{100,10,50,250},{1000,11,50,250},{300,11,50,250},{100,11,50,250},{1000,13,30,150},{300,13,30,150},{100,13,30,150},{1000,14,25,125},{300,14,25,125},{100,14,25,125},{1000,15,50,250},{300,15,50,250},{100,15,50,250},{1000,16,30,150},{300,16,30,150},{100,16,30,150},{1000,19,40,200},{300,19,40,200},{100,19,40,200}	0	-1
3180115	8	30级橙色射手戒指	{2,1080,2160},{7,160,320}	4,9900,5,100	{1000,1,320,1600},{300,1,320,1600},{100,1,320,1600},{1000,2,180,900},{300,2,180,900},{100,2,180,900},{1000,3,100,500},{300,3,100,500},{100,3,100,500},{1000,4,100,500},{300,4,100,500},{100,4,100,500},{1000,5,80,400},{300,5,80,400},{100,5,80,400},{1000,6,60,300},{300,6,60,300},{100,6,60,300},{1000,7,40,200},{300,7,40,200},{100,7,40,200},{1000,8,40,200},{300,8,40,200},{100,8,40,200},{1000,9,50,250},{300,9,50,250},{100,9,50,250},{1000,10,50,250},{300,10,50,250},{100,10,50,250},{1000,11,50,250},{300,11,50,250},{100,11,50,250},{1000,13,30,150},{300,13,30,150},{100,13,30,150},{1000,14,25,125},{300,14,25,125},{100,14,25,125},{1000,15,50,250},{300,15,50,250},{100,15,50,250},{1000,16,30,150},{300,16,30,150},{100,16,30,150},{1000,19,40,200},{300,19,40,200},{100,19,40,200}	0	-1
3110124	1	40级紫色射手头盔	{5,396,793},{6,297,595}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	0	-1
3120124	2	40级紫色射手武器	{3,744,1488},{7,297,595}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	0	-1
3130124	3	40级紫色射手衣服	{1,2380,4761},{2,892,1785}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	0	-1
3140124	4	40级紫色射手项链	{3,248,496},{6,223,446}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	0	-1
3150124	5	40级紫色射手腰带	{1,793,1587},{5,297,595}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	0	-1
3160124	6	40级紫色射手手镯	{3,248,496},{5,297,595}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	0	-1
3170124	7	40级紫色射手鞋子	{1,793,1587},{6,223,446}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	0	-1
3180124	8	40级紫色射手戒指	{2,1339,2678},{7,198,396}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	0	-1
3110134	1	40级紫色射手头盔（套装）	{5,396,793},{6,297,595}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	1	5
3120134	2	40级紫色射手武器（套装）	{3,744,1488},{7,297,595}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	1	6
3130134	3	40级紫色射手衣服（套装）	{1,2380,4761},{2,892,1785}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	1	5
3140134	4	40级紫色射手项链（套装）	{3,248,496},{6,223,446}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	1	6
3150134	5	40级紫色射手腰带（套装）	{1,793,1587},{5,297,595}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	1	5
3160134	6	40级紫色射手手镯（套装）	{3,248,496},{5,297,595}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	1	6
3170134	7	40级紫色射手鞋子（套装）	{1,793,1587},{6,223,446}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	1	5
3180134	8	40级紫色射手戒指（套装）	{2,1339,2678},{7,198,396}	3,9900,4,100	{1000,1,397,1984},{300,1,397,1984},{100,1,397,1984},{1000,2,224,1116},{300,2,224,1116},{100,2,224,1116},{1000,3,124,620},{300,3,124,620},{100,3,124,620},{1000,4,124,620},{300,4,124,620},{100,4,124,620},{1000,5,100,496},{300,5,100,496},{100,5,100,496},{1000,6,75,372},{300,6,75,372},{100,6,75,372},{1000,7,50,248},{300,7,50,248},{100,7,50,248},{1000,8,50,248},{300,8,50,248},{100,8,50,248},{1000,9,62,310},{300,9,62,310},{100,9,62,310},{1000,10,62,310},{300,10,62,310},{100,10,62,310},{1000,11,62,310},{300,11,62,310},{100,11,62,310},{1000,13,38,186},{300,13,38,186},{100,13,38,186},{1000,14,31,155},{300,14,31,155},{100,14,31,155},{1000,15,62,310},{300,15,62,310},{100,15,62,310},{1000,16,38,186},{300,16,38,186},{100,16,38,186},{1000,19,50,248},{300,19,50,248},{100,19,50,248}	1	6
3110145	1	40级橙色射手头盔	{5,473,947},{6,355,710}	4,9900,5,100	{1000,1,474,2368},{300,1,474,2368},{100,1,474,2368},{1000,2,267,1332},{300,2,267,1332},{100,2,267,1332},{1000,3,148,740},{300,3,148,740},{100,3,148,740},{1000,4,148,740},{300,4,148,740},{100,4,148,740},{1000,5,119,592},{300,5,119,592},{100,5,119,592},{1000,6,89,444},{300,6,89,444},{100,6,89,444},{1000,7,60,296},{300,7,60,296},{100,7,60,296},{1000,8,60,296},{300,8,60,296},{100,8,60,296},{1000,9,74,370},{300,9,74,370},{100,9,74,370},{1000,10,74,370},{300,10,74,370},{100,10,74,370},{1000,11,74,370},{300,11,74,370},{100,11,74,370},{1000,13,45,222},{300,13,45,222},{100,13,45,222},{1000,14,37,185},{300,14,37,185},{100,14,37,185},{1000,15,74,370},{300,15,74,370},{100,15,74,370},{1000,16,45,222},{300,16,45,222},{100,16,45,222},{1000,19,60,296},{300,19,60,296},{100,19,60,296}	0	-1
3120145	2	40级橙色射手武器	{3,888,1776},{7,355,710}	4,9900,5,100	{1000,1,474,2368},{300,1,474,2368},{100,1,474,2368},{1000,2,267,1332},{300,2,267,1332},{100,2,267,1332},{1000,3,148,740},{300,3,148,740},{100,3,148,740},{1000,4,148,740},{300,4,148,740},{100,4,148,740},{1000,5,119,592},{300,5,119,592},{100,5,119,592},{1000,6,89,444},{300,6,89,444},{100,6,89,444},{1000,7,60,296},{300,7,60,296},{100,7,60,296},{1000,8,60,296},{300,8,60,296},{100,8,60,296},{1000,9,74,370},{300,9,74,370},{100,9,74,370},{1000,10,74,370},{300,10,74,370},{100,10,74,370},{1000,11,74,370},{300,11,74,370},{100,11,74,370},{1000,13,45,222},{300,13,45,222},{100,13,45,222},{1000,14,37,185},{300,14,37,185},{100,14,37,185},{1000,15,74,370},{300,15,74,370},{100,15,74,370},{1000,16,45,222},{300,16,45,222},{100,16,45,222},{1000,19,60,296},{300,19,60,296},{100,19,60,296}	0	-1
3130145	3	40级橙色射手衣服	{1,2841,5683},{2,1065,2131}	4,9900,5,100	{1000,1,474,2368},{300,1,474,2368},{100,1,474,2368},{1000,2,267,1332},{300,2,267,1332},{100,2,267,1332},{1000,3,148,740},{300,3,148,740},{100,3,148,740},{1000,4,148,740},{300,4,148,740},{100,4,148,740},{1000,5,119,592},{300,5,119,592},{100,5,119,592},{1000,6,89,444},{300,6,89,444},{100,6,89,444},{1000,7,60,296},{300,7,60,296},{100,7,60,296},{1000,8,60,296},{300,8,60,296},{100,8,60,296},{1000,9,74,370},{300,9,74,370},{100,9,74,370},{1000,10,74,370},{300,10,74,370},{100,10,74,370},{1000,11,74,370},{300,11,74,370},{100,11,74,370},{1000,13,45,222},{300,13,45,222},{100,13,45,222},{1000,14,37,185},{300,14,37,185},{100,14,37,185},{1000,15,74,370},{300,15,74,370},{100,15,74,370},{1000,16,45,222},{300,16,45,222},{100,16,45,222},{1000,19,60,296},{300,19,60,296},{100,19,60,296}	0	-1
3140145	4	40级橙色射手项链	{3,296,592},{6,266,532}	4,9900,5,100	{1000,1,474,2368},{300,1,474,2368},{100,1,474,2368},{1000,2,267,1332},{300,2,267,1332},{100,2,267,1332},{1000,3,148,740},{300,3,148,740},{100,3,148,740},{1000,4,148,740},{300,4,148,740},{100,4,148,740},{1000,5,119,592},{300,5,119,592},{100,5,119,592},{1000,6,89,444},{300,6,89,444},{100,6,89,444},{1000,7,60,296},{300,7,60,296},{100,7,60,296},{1000,8,60,296},{300,8,60,296},{100,8,60,296},{1000,9,74,370},{300,9,74,370},{100,9,74,370},{1000,10,74,370},{300,10,74,370},{100,10,74,370},{1000,11,74,370},{300,11,74,370},{100,11,74,370},{1000,13,45,222},{300,13,45,222},{100,13,45,222},{1000,14,37,185},{300,14,37,185},{100,14,37,185},{1000,15,74,370},{300,15,74,370},{100,15,74,370},{1000,16,45,222},{300,16,45,222},{100,16,45,222},{1000,19,60,296},{300,19,60,296},{100,19,60,296}	0	-1
3150145	5	40级橙色射手腰带	{1,947,1894},{5,355,710}	4,9900,5,100	{1000,1,474,2368},{300,1,474,2368},{100,1,474,2368},{1000,2,267,1332},{300,2,267,1332},{100,2,267,1332},{1000,3,148,740},{300,3,148,740},{100,3,148,740},{1000,4,148,740},{300,4,148,740},{100,4,148,740},{1000,5,119,592},{300,5,119,592},{100,5,119,592},{1000,6,89,444},{300,6,89,444},{100,6,89,444},{1000,7,60,296},{300,7,60,296},{100,7,60,296},{1000,8,60,296},{300,8,60,296},{100,8,60,296},{1000,9,74,370},{300,9,74,370},{100,9,74,370},{1000,10,74,370},{300,10,74,370},{100,10,74,370},{1000,11,74,370},{300,11,74,370},{100,11,74,370},{1000,13,45,222},{300,13,45,222},{100,13,45,222},{1000,14,37,185},{300,14,37,185},{100,14,37,185},{1000,15,74,370},{300,15,74,370},{100,15,74,370},{1000,16,45,222},{300,16,45,222},{100,16,45,222},{1000,19,60,296},{300,19,60,296},{100,19,60,296}	0	-1
3160145	6	40级橙色射手手镯	{3,296,592},{5,355,710}	4,9900,5,100	{1000,1,474,2368},{300,1,474,2368},{100,1,474,2368},{1000,2,267,1332},{300,2,267,1332},{100,2,267,1332},{1000,3,148,740},{300,3,148,740},{100,3,148,740},{1000,4,148,740},{300,4,148,740},{100,4,148,740},{1000,5,119,592},{300,5,119,592},{100,5,119,592},{1000,6,89,444},{300,6,89,444},{100,6,89,444},{1000,7,60,296},{300,7,60,296},{100,7,60,296},{1000,8,60,296},{300,8,60,296},{100,8,60,296},{1000,9,74,370},{300,9,74,370},{100,9,74,370},{1000,10,74,370},{300,10,74,370},{100,10,74,370},{1000,11,74,370},{300,11,74,370},{100,11,74,370},{1000,13,45,222},{300,13,45,222},{100,13,45,222},{1000,14,37,185},{300,14,37,185},{100,14,37,185},{1000,15,74,370},{300,15,74,370},{100,15,74,370},{1000,16,45,222},{300,16,45,222},{100,16,45,222},{1000,19,60,296},{300,19,60,296},{100,19,60,296}	0	-1
3170145	7	40级橙色射手鞋子	{1,947,1894},{6,266,532}	4,9900,5,100	{1000,1,474,2368},{300,1,474,2368},{100,1,474,2368},{1000,2,267,1332},{300,2,267,1332},{100,2,267,1332},{1000,3,148,740},{300,3,148,740},{100,3,148,740},{1000,4,148,740},{300,4,148,740},{100,4,148,740},{1000,5,119,592},{300,5,119,592},{100,5,119,592},{1000,6,89,444},{300,6,89,444},{100,6,89,444},{1000,7,60,296},{300,7,60,296},{100,7,60,296},{1000,8,60,296},{300,8,60,296},{100,8,60,296},{1000,9,74,370},{300,9,74,370},{100,9,74,370},{1000,10,74,370},{300,10,74,370},{100,10,74,370},{1000,11,74,370},{300,11,74,370},{100,11,74,370},{1000,13,45,222},{300,13,45,222},{100,13,45,222},{1000,14,37,185},{300,14,37,185},{100,14,37,185},{1000,15,74,370},{300,15,74,370},{100,15,74,370},{1000,16,45,222},{300,16,45,222},{100,16,45,222},{1000,19,60,296},{300,19,60,296},{100,19,60,296}	0	-1
3180145	8	40级橙色射手戒指	{2,1598,3196},{7,236,473}	4,9900,5,100	{1000,1,474,2368},{300,1,474,2368},{100,1,474,2368},{1000,2,267,1332},{300,2,267,1332},{100,2,267,1332},{1000,3,148,740},{300,3,148,740},{100,3,148,740},{1000,4,148,740},{300,4,148,740},{100,4,148,740},{1000,5,119,592},{300,5,119,592},{100,5,119,592},{1000,6,89,444},{300,6,89,444},{100,6,89,444},{1000,7,60,296},{300,7,60,296},{100,7,60,296},{1000,8,60,296},{300,8,60,296},{100,8,60,296},{1000,9,74,370},{300,9,74,370},{100,9,74,370},{1000,10,74,370},{300,10,74,370},{100,10,74,370},{1000,11,74,370},{300,11,74,370},{100,11,74,370},{1000,13,45,222},{300,13,45,222},{100,13,45,222},{1000,14,37,185},{300,14,37,185},{100,14,37,185},{1000,15,74,370},{300,15,74,370},{100,15,74,370},{1000,16,45,222},{300,16,45,222},{100,16,45,222},{1000,19,60,296},{300,19,60,296},{100,19,60,296}	0	-1
3110155	1	40级橙色射手头盔（套装）	{5,473,947},{6,355,710}	4,9900,5,100	{1000,1,474,2368},{300,1,474,2368},{100,1,474,2368},{1000,2,267,1332},{300,2,267,1332},{100,2,267,1332},{1000,3,148,740},{300,3,148,740},{100,3,148,740},{1000,4,148,740},{300,4,148,740},{100,4,148,740},{1000,5,119,592},{300,5,119,592},{100,5,119,592},{1000,6,89,444},{300,6,89,444},{100,6,89,444},{1000,7,60,296},{300,7,60,296},{100,7,60,296},{1000,8,60,296},{300,8,60,296},{100,8,60,296},{1000,9,74,370},{300,9,74,370},{100,9,74,370},{1000,10,74,370},{300,10,74,370},{100,10,74,370},{1000,11,74,370},{300,11,74,370},{100,11,74,370},{1000,13,45,222},{300,13,45,222},{100,13,45,222},{1000,14,37,185},{300,14,37,185},{100,14,37,185},{1000,15,74,370},{300,15,74,370},{100,15,74,370},{1000,16,45,222},{300,16,45,222},{100,16,45,222},{1000,19,60,296},{300,19,60,296},{100,19,60,296}	1	13
