ID	Dce	GemType	GemAttr	LevelUp	GemExp	ResolveExp
75114	橙色物理穿透宝石4级	2	7,36	75115	922	756
75115	橙色物理穿透宝石5级	2	7,52	75116	2183	1678
75116	橙色物理穿透宝石6级	2	7,73	75117	5157	3861
75117	橙色物理穿透宝石7级	2	7102	75118	12207	9018
75118	橙色物理穿透宝石8级	2	7142	75119	28856	21225
75119	橙色物理穿透宝石9级	2	7200	-1	68259	50081
75121	橙色法术穿透宝石1级	2	8,14	75122	121	81
75122	橙色法术穿透宝石2级	2	8,20	75123	172	202
75123	橙色法术穿透宝石3级	2	8,28	75124	382	374
75124	橙色法术穿透宝石4级	2	8,36	75125	922	756
75125	橙色法术穿透宝石5级	2	8,52	75126	2183	1678
75126	橙色法术穿透宝石6级	2	8,73	75127	5157	3861
75127	橙色法术穿透宝石7级	2	8102	75128	12207	9018
75128	橙色法术穿透宝石8级	2	8142	75129	28856	21225
75129	橙色法术穿透宝石9级	2	8200	-1	68259	50081
75131	橙色暴击抵抗宝石1级	1	13,14	75132	121	81
75132	橙色暴击抵抗宝石2级	1	13,20	75133	172	202
75133	橙色暴击抵抗宝石3级	1	13,28	75134	382	374
75134	橙色暴击抵抗宝石4级	1	13,36	75135	922	756
75135	橙色暴击抵抗宝石5级	1	13,52	75136	2183	1678
75136	橙色暴击抵抗宝石6级	1	13,73	75137	5157	3861
75137	橙色暴击抵抗宝石7级	1	13102	75138	12207	9018
75138	橙色暴击抵抗宝石8级	1	13142	75139	28856	21225
75139	橙色暴击抵抗宝石9级	1	13200	-1	68259	50081
75141	橙色韧性宝石1级	1	16,14	75142	121	81
75142	橙色韧性宝石2级	1	16,20	75143	172	202
75143	橙色韧性宝石3级	1	16,28	75144	382	374
75144	橙色韧性宝石4级	1	16,36	75145	922	756
75145	橙色韧性宝石5级	1	16,52	75146	2183	1678
75146	橙色韧性宝石6级	1	16,73	75147	5157	3861
75147	橙色韧性宝石7级	1	16102	75148	12207	9018
75148	橙色韧性宝石8级	1	16142	75149	28856	21225
75149	橙色韧性宝石9级	1	16200	-1	68259	50081
75151	橙色暴击宝石1级	2	11,14	75152	121	81
75152	橙色暴击宝石2级	2	11,20	75153	172	202
75153	橙色暴击宝石3级	2	11,28	75154	382	374
75154	橙色暴击宝石4级	2	11,36	75155	922	756
75155	橙色暴击宝石5级	2	11,52	75156	2183	1678
75156	橙色暴击宝石6级	2	11,73	75157	5157	3861
75157	橙色暴击宝石7级	2	11102	75158	12207	9018
75158	橙色暴击宝石8级	2	11142	75159	28856	21225
75159	橙色暴击宝石9级	2	11200	-1	68259	50081
75161	橙色冷却缩减宝石1级	2	19,14	75162	121	81
75162	橙色冷却缩减宝石2级	2	19,20	75163	172	202
75163	橙色冷却缩减宝石3级	2	19,28	75164	382	374
75164	橙色冷却缩减宝石4级	2	19,36	75165	922	756
75165	橙色冷却缩减宝石5级	2	19,52	75166	2183	1678
75166	橙色冷却缩减宝石6级	2	19,73	75167	5157	3861
75167	橙色冷却缩减宝石7级	2	19102	75168	12207	9018
75168	橙色冷却缩减宝石8级	2	19142	75169	28856	21225
